username,prize
steffen2121,2018 Topps Living Russell Martin - PSA 10 (Cert: 41265890)
sheltronica,2018 Topps Living Eric Sogard - PSA 10 (Cert: 41890814)
ronfresco,2018 Topps Living Ender Inciarte - PSA 10 (Cert: 42261952)
jdbeltz,2018 Topps Living J.D. Martinez - PSA 10 (Cert: 42109453)
patelh121,2018 Topps Living Mitch Haniger - PSA 10 (Cert: 41954051)
ronfresco,2018 Topps Living Brian Anderson - PSA 10 (Cert: 41907418)
metajungle,2018 Topps Living Jed Lowrie - PSA 10 (Cert: 41647272)
mjno23goat,2018 Topps Living Noah Syndergaard - PSA 10 (Cert: 41334396)
metajungle,2018 Topps Living Adam Duvall - PSA 10 (Cert: 41890221)
metajungle,2018 Topps Living Lewis Brinson - PSA 10 (Cert: 41872942)
radishkabal6,2018 Topps Living Ted Williams - PSA 10 (Cert: 41964083)
patelh121,2018 Topps Living Francisco Mejia - PSA 10 (Cert: 42109491)
billcot,2018 Topps Living Ozzie Albies - PSA 10 (Cert: 41299086)
xheryk,2018 Topps Living Avisail Garcia - PSA 10 (Cert: 41693460)
bmw1909,2018 Topps Living Ryan McMahon - PSA 10 (Cert: 42261924)
niftymetagirl,2018 Topps Living Clayton Kershaw - PSA 10 (Cert: 42261891)
me-degen,2018 Topps Living Yoan Moncada - PSA 10 (Cert: 41298933)
metajungle,2018 Topps Living Charlie Blackmon - PSA 10 (Cert: 41104101)
metajungle,2018 Topps Living Derek Jeter - PSA 10 (Cert: 41409736)
patelh121,
mattcook,
newlin99,
omgiwon,
deleonlakers2000,
thestranger,
metajungle,
alphablok,
phisigfsu,
bigdobs,
alphablok,
bsusko,
college31,
ronfresco,
radishkabal6,
patelh121,
metajungle,
steffen2121,
thampster,
metajungle,
esotericpa,
alphablok,
metajungle,
metajungle,
cph626,
metajungle,
viking91107,
jjmccann2121,
schmoe,
me-degen,
metajungle,
metajungle,
phillywill,
patelh121,
college31,
milvec,
mattcook,
ronfresco,
mjno23goat,
metajungle,
bbv00248,
chgolitigator,
rilbiz,
phillywill,
niftymetagirl,
metajungle,
phisigfsu,
ronfresco,
ronfresco,
galileo,
xheryk,
cph626,
metajungle,
mvenekam,
bennyz,
metajungle,
tt9s,
bigdobs,
alphablok,
schmoe,
schmoe,
xheryk,
metajungle,
jalbo1,
cph626,
metajungle,
alphablok,
schmoe,
madvolker,
galileo,
big_bees,
bmw1909,
sheltronica,
smashngrab77,
viking91107,
xheryk,
brftw,
mattcook,
xheryk,
patelh121,
bennyz,
balward,
metajungle,
johnnyclutchcards,
phillywill,
metajungle,
alphablok,
bjamps,
thegoat,
bjamps,
metajungle,
jjmccann2121,
bigdobs,
mattcook,
metajungle,
alphablok,
patelh121,
patelh121,
billcot,
aaronahaddad,
madvolker,
alphablok,
tsage225,
texhooper,
patelh121,
titomachado,
bjamps,
billcot,
chicagows213,
smashngrab77,
metajungle,
metajungle,
billcot,
jbbasics,
bjamps,
dangersc,
daveliz55,
metajungle,
daveliz55,
metajungle,
omgiwon,
bluetitans19,
billfd,
crispjb,
smashngrab77,
johnnyclutchcards,
metajungle,
deleonlakers2000,
alphablok,
andtercel,
iiiericiii,
niftymetagirl,
alphablok,
metajungle,
cph626,
radishkabal6,
schmoe,
flyingninja,
billcot,
gozags,
robp343,
dhoovey,
bigdobs,
charlotteann,
bpfergu,
niftymetagirl,
jjmccann2121,
bennyz,
guvv,
xheryk,
schmoe,
ntrprzr,
2048,
alphablok,
jbbasics,
niftymetagirl,
sdyote,
sdyote,
yoyo909,
kyled005,
xheryk,
metajungle,
titomachado,
bjamps,
xheryk,
alphablok,
bsusko,
dog29,
metajungle,
mattcook,
phisigfsu,
alphablok,
mattcook,
metajungle,
milvec,
metajungle,
alphablok,
mattcook,
metajungle,
alphablok,
metajungle,
metajungle,
alphablok,
bjamps,
davidpatrick08,
bpfergu,
kyled005,
schmoe,
